Name,CountryCode,Mammals,Birds,Reptiles,Amphibians,Fishes,Molluscs,OtherInverts,Plants,Fungi,Chromists,Total
Afghanistan,AFG,12,16,3,1,11,0,2,9,0,0,54
Albania,ALB,4,8,5,1,60,51,22,5,0,0,156
Algeria,DZA,15,20,8,2,65,12,30,31,2,0,185
American Samoa,ASM,1,6,6,0,24,5,61,2,0,0,105
Andorra,AND,2,3,1,0,0,3,5,1,0,0,15
Angola,AGO,24,33,10,0,82,7,4,68,0,0,228
Anguilla,,1,0,8,0,49,0,10,3,0,0,71
Antarctica,,2,5,0,0,1,0,0,0,0,0,8
Antigua and Barbuda,ATG,2,3,8,0,49,0,11,2,0,0,75
Argentina,ARG,39,54,29,33,83,0,19,73,21,0,351
Armenia,ARM,7,15,7,0,4,2,6,76,0,0,117
Aruba,ABW,2,1,2,0,51,1,1,5,0,0,63
Australia,AUS,69,66,76,47,214,182,412,766,13,0,"1,845"
Austria,AUT,5,13,1,0,13,43,64,38,50,0,227
Azerbaijan,AZE,7,18,8,1,14,2,5,46,1,0,102
Bahamas,BHS,5,9,13,0,60,1,12,28,0,0,128
Bahrain,BHR,3,8,4,0,36,0,13,0,0,0,64
Bangladesh,BGD,39,36,30,1,75,0,7,35,0,0,223
Barbados,BRB,3,3,7,0,48,0,11,4,0,0,76
Belarus,BLR,4,11,0,0,3,3,9,2,4,0,36
Belgium,BEL,3,8,0,0,19,6,16,3,23,0,78
Belize,BLZ,10,8,8,2,69,0,12,84,0,0,193
Benin,BEN,16,14,8,1,73,3,1,17,0,0,133
Bermuda,BMU,4,3,4,0,35,2,28,8,0,0,84
Bhutan,BTN,28,19,10,2,5,0,1,55,2,0,122
"Bolivia, Plurinational States of",BOL,24,47,14,53,9,2,1,298,0,0,448
"Bonaire, Sint Eustatius and Saba",,3,1,7,0,52,0,11,6,0,0,80
Bosnia and Herzegovina,BIH,5,9,3,1,51,19,38,5,1,0,132
Botswana,BWA,11,18,1,0,2,0,0,3,0,0,35
Bouvet Island,,1,1,0,0,0,0,0,0,0,0,2
Brazil,BRA,97,155,94,36,360,22,70,"1,346",36,0,"2,216"
British Indian Ocean Territory,VGB,0,1,2,0,25,0,70,0,0,0,98
Brunei Darussalam,BRN,37,39,10,2,61,0,18,182,0,0,349
Bulgaria,BGR,10,18,2,0,21,32,40,13,9,0,145
Burkina Faso,BFA,12,15,4,0,3,0,0,6,0,0,40
Burundi,BDI,16,18,1,1,17,3,3,159,0,0,218
Cabo Verde,CPV,4,7,6,0,47,14,0,51,0,0,129
Cambodia,KHM,44,32,23,8,94,1,81,51,0,0,334
Cameroon,CMR,48,31,24,60,148,14,14,888,0,0,"1,227"
Canada,CAN,18,22,6,1,51,21,24,21,29,0,193
Cayman Islands,CYM,1,1,11,0,44,2,12,23,0,0,94
Central African Republic,CAF,20,18,7,0,3,2,0,50,0,0,100
Chad,TCD,16,20,5,0,1,6,0,7,0,0,55
Chile,CHL,18,34,28,34,41,1,13,91,19,0,279
China,CHN,78,94,55,140,207,15,71,713,8,0,"1,381"
Christmas Island,,2,5,3,0,22,0,20,2,0,0,54
Cocos (Keeling) Islands,,2,1,1,0,24,0,21,0,0,0,49
Colombia,COL,63,102,39,290,183,4,60,918,6,0,"1,665"
Comoros,COM,6,13,9,0,24,0,81,15,0,0,148
Congo,COG,18,6,8,1,83,7,0,111,0,0,234
"Congo, The Democratic Republic of the",COD,48,40,18,13,128,45,9,440,0,0,741
Cook Islands,,1,11,3,0,20,0,33,13,0,0,81
Costa Rica,CRI,12,25,16,55,144,2,37,319,5,0,615
Croatia,HRV,10,16,4,2,80,50,44,11,26,0,243
C�����,CIV,34,26,9,7,89,8,2,159,0,0,334
Cuba,CUB,10,17,44,49,66,0,23,192,0,0,401
Cura��,,3,1,5,0,47,0,11,4,0,0,71
Cyprus,CYP,7,9,5,1,39,7,15,23,2,0,108
Czechia,CZE,4,10,0,0,2,6,41,31,33,0,127
Denmark,DNK,2,10,0,0,26,5,15,2,30,0,90
Disputed Territory,,0,0,0,0,20,0,1,0,0,0,21
Djibouti,DJI,11,15,1,0,40,1,56,3,0,0,127
Dominica,DMA,3,6,3,2,50,0,11,20,0,0,95
Dominican Republic,DOM,6,17,59,35,47,0,19,90,0,0,273
Ecuador,ECU,49,86,93,183,99,49,27,"2,029",2,6,"2,623"
Egypt,EGY,19,17,12,0,89,2,56,13,0,0,208
El Salvador,SLV,6,9,10,8,51,0,10,77,0,0,171
Equatorial Guinea,GNQ,24,3,8,6,82,2,2,165,0,0,292
Eritrea,ERI,16,22,7,0,50,1,57,7,0,0,160
Estonia,EST,1,11,0,0,4,4,6,2,28,0,56
Eswatini,SWZ,9,15,1,0,5,0,3,14,0,0,47
Ethiopia,ETH,40,35,4,12,16,4,11,107,0,0,229
Falkland Islands (Malvinas),,4,8,0,0,7,0,0,5,6,0,30
Faroe Islands,FRO,4,5,0,0,20,0,0,1,4,0,34
Fiji,FJI,7,14,16,0,33,81,108,95,0,0,354
